id,order_number,portal,total_amount,created_at
1afd4656-f909-43c8-bf80-9769645d936d,"MSH-1779634765604-z5xm",meesho,0,2026-05-24T14:59:25.604+00:00
a8b56a22-ea1f-4dda-8ed0-34fb3d48fb61,"MSH-1779634765604-xr2b",meesho,0,2026-05-24T14:59:25.604+00:00
46aca999-cd11-477e-95dc-f724a70137dc,"MSH-1779634765604-90om",meesho,0,2026-05-24T14:59:25.604+00:00
88ef069a-2489-401c-a8d2-21e457459737,"MSH-1779634765604-gs34",meesho,0,2026-05-24T14:59:25.604+00:00
b47bbe9d-680f-416f-9b52-97cb054b6c98,"MSH-1779634765604-72i4",meesho,0,2026-05-24T14:59:25.604+00:00
91419ea5-de93-4aa2-b6c6-4880db582868,"MSH-1779634765604-txnf",meesho,0,2026-05-24T14:59:25.604+00:00
68d213c5-9c22-4038-9aeb-adf42dbb3451,"MSH-1779634765604-hxkr",meesho,0,2026-05-24T14:59:25.604+00:00
927733a7-3197-4214-aa70-1e026333cb2c,"MSH-1779634765604-ouc5",meesho,0,2026-05-24T14:59:25.604+00:00
cceda1a8-6af4-42ee-989c-e2d36cd5ea42,"MSH-1779634765604-yqnv",meesho,0,2026-05-24T14:59:25.604+00:00
dbd7ea8b-2485-43cf-81f9-50f938c27595,"MSH-1779634765604-a9iz",meesho,0,2026-05-24T14:59:25.604+00:00
3301c30e-e837-4b9a-a5b9-29832664f567,"MSH-1779634765604-jwam",meesho,0,2026-05-24T14:59:25.604+00:00
0780cede-c586-4cd2-9d55-23c5b924c8f3,"MSH-1779634765604-8j69",meesho,0,2026-05-24T14:59:25.604+00:00
b0cbd706-9f70-4518-a0fa-1cc80867713f,"14213177WJQD6D08E7",firstcry,0,2026-05-15T12:48:43.149935+00:00
ec9e8c5b-b1e7-4438-9c9a-10c4ce4eb77b,"AUTO-FC-1779214073595-1",firstcry,0,2026-05-19T18:08:01.998468+00:00
ca5fe23a-a4cd-4368-b3f3-d58e08d4ffb4,"39491954VPY05F9D17",firstcry,0,2026-05-15T12:48:43.296621+00:00
0f285c13-6313-4f52-8b09-aa37feb8b646,"40789256VKV50260AC",firstcry,0,2026-05-15T12:48:45.31236+00:00
6f051f8f-7750-4d50-9aa8-4c5c30db0f39,"https://www.firstcry.com/get-it/get-it-premium-multi-usage-breastfeeding-cover-apron-model-nursing-cover-adjustable-strap-easy-use-in-travel-navy-blue-print/17729915/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
da04fee6-0c3b-45ff-aed6-2343c5021f06,"https://www.firstcry.com/get-it/get-it-100-cotton-breast-feeding-foam-pillow-removable-cover-with-zip-buckle-adjust-nursing-extra-large-red-white/1039324/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
ea40514b-1cd3-4b52-881a-46d275f224c6,"https://www.firstcry.com/get-it/get-it-maternity-pillow-multi-usage-premium-j-shape-100-cotton-removable-cover-with-zip-maroon/17729904/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
88df1260-e927-49dd-a1b2-0b4993895309,"https://www.firstcry.com/get-it/get-it-premium-multi-usage-breastfeeding-cover-nursing-cover-360-degree-protection-navy-blue-print/17729914/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
