Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0D58K92GN,,FFPNBP,INR,950.48,3,0,3,2851.44,2851.44,40.12,3.0,120.36,,,,100.3,3.0,300.9,,,,31.403333,3.0,94.21,,,,,,2335.97,778.656667
IN,11/01/2025,11/30/2025,B0GL8W1TC8,B07HWT71T3,,FPP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0GL8W1TC8,B0D58KHFXT,,FPPNBP-2in1,INR,950.48,3,2,1,2851.44,950.48,40.12,3.0,120.36,,,,100.3,3.0,300.9,-94.21,1.0,-94.21,62.806667,3.0,188.42,,,,,,435.01,435.01
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0D58LNSH1,,FPPNBPV,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0721SCXNR,,FPR221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5T911J,B0DG5SMSD9,,J-Shaped-MP-Pink,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5RX3VV,B09XJ6FP3Y,,JV-W8QZ-PX4J,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SQ1T1,B09XJ247R1,,K9-42EM-XX55,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B09XDWZ2J5,,MH-2ARK-4WLV,INR,569.52,8,1,7,4556.16,3986.64,40.12,8.0,320.96,,,,100.3,10.0,1003.0,-56.45,1.0,-56.45,42.3375,8.0,338.7,4.506667,27.0,121.68,,,2258.75,322.678571
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0C8K3Y73B,,MPRFP227-W,INR,855.24,2,0,2,1710.48,1710.48,40.12,2.0,80.24,,,,349.28,2.0,698.56,,,,47.105,2.0,94.21,,,,,,837.47,418.735
