Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,01/01/2026,01/31/2026,B0DG5V58HL,B0D58JV7XY,,BFCSMRC,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG8ZQXLK,B0DG92WXGM,,BFFMBP,INR,950.48,1,2,-1,950.48,-950.48,112.1,1.0,112.1,105.02,1.0,105.02,,,,0.0,1.0,0.0,,,,,,-1207.72,1207.72
IN,01/01/2026,01/31/2026,B09SYYJ29Z,B09SYYJ29Z,,Blue Heart Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09SYYMYLB,B09SYYMYLB,,Blue Heart Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0BXTDF5RC,,Blue_Star,INR,527.193333,9,2,7,4744.74,3605.7,118.0,1.0,118.0,148.09,8.0,1184.72,,,,0.0,9.0,0.0,5.025,40.0,201.0,,,1849.46,264.208571
IN,01/01/2026,01/31/2026,B09SYYLMX9,B09SYYLMX9,,Blue Star Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5RZRL3,B07HX47XN2,,BNB2217CBB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B072KMS8CZ,B072KMS8CZ,,BSCB221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SFDJY,B07NYCKFPF,,CBELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07NLG1JLL,B07NLG1JLL,,CBHMFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07NZ1GG98,,CBRFP221,INR,566.67,1,0,1,566.67,566.67,40.12,1.0,40.12,148.68,1.0,148.68,,,,0.0,1.0,0.0,3.66,2.0,7.32,,,370.55,370.55
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07P13BXZX,,CBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07NLG2RWW,B07NLG2RWW,,CBRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07NLGQG9Y,B07NLGQG9Y,,CBRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SW8HY,B0C8PTH3QF,,CRODA227-B,INR,668.826385,130,26,104,86947.43,69587.48,118.0,7.0,826.0,147.720726,136.0,20090.0188,,,,0.0,131.0,0.0,4.615904,686.0,3166.51,,,40249.2312,387.011838
IN,01/01/2026,01/31/2026,B0DG5SW8HY,B0C8PVTTRR,,CRODA227-P,INR,670.736078,102,16,86,68415.08,57531.29,116.82,5.0,584.1,148.004133,95.0,14060.3926,,,,0.0,102.0,0.0,4.70661,708.0,3332.28,,,35462.2774,412.352063
IN,01/01/2026,01/31/2026,B0DG5SW8HY,B0C8PQYQPX,,CRODS227,INR,288.886667,15,2,13,4333.3,3727.58,88.5,1.0,88.5,41.961787,16.0,671.3886,,,,0.0,2.0,0.0,4.374492,118.0,516.19,,,2340.5814,180.044723
IN,01/01/2026,01/31/2026,B0DG5SW8HY,B0C8PQGSGX,,CRODSJH227-B,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SW8HY,B0C8PPB2DX,,CRODSJH227-P,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
